Date,Symbol,Close,High,Low,Open,Volume
2016-05-17,GOOGL,720.19,735.85,718.0,731.06,1670176
2016-05-18,GOOGL,721.78,725.57,715.02,718.5,1626800
2016-05-19,GOOGL,715.31,720.5,710.305,718.3,1529910
2016-05-20,GOOGL,721.71,727.7,715.01,716.46,1739895
2016-05-23,GOOGL,717.25,723.4999,716.94,719.98,1240826
2016-05-24,GOOGL,733.03,734.2,719.645,719.85,1894161
2016-05-25,GOOGL,738.1,739.89,732.6,735.0,1616624
2016-05-26,GOOGL,736.93,741.1,733.0,736.0,1360119
2016-05-27,GOOGL,747.6,747.91,737.01,737.51,1740130
2016-05-30,GOOGL,747.6,747.6,747.6,747.6,0
2016-05-31,GOOGL,748.85,753.48,745.57,748.76,2124248
2016-06-01,GOOGL,748.46,751.37,744.34,748.47,1039847
2016-06-02,GOOGL,744.27,747.3,737.0,746.1,1695824
2016-06-03,GOOGL,735.86,741.49,733.91,741.49,1230376
2016-06-06,GOOGL,730.06,738.5,728.29,738.5,1499648
2016-06-07,GOOGL,731.09,736.71,730.8,733.27,1215741
2016-06-08,GOOGL,742.93,743.81,735.765,739.5,1615727
2016-06-09,GOOGL,742.52,743.93,736.5,737.07,958963
2016-06-10,GOOGL,733.19,739.64,730.51,735.95,1452456
2016-06-13,GOOGL,731.88,739.0,729.82,729.82,1167736
2016-06-14,GOOGL,733.25,736.0,726.5,729.31,1329176
2016-06-15,GOOGL,732.19,737.15,731.31,734.92,1161701
2016-06-16,GOOGL,724.25,730.39,715.54,727.96,2250083
2016-06-17,GOOGL,704.25,721.39,701.12,721.39,4113085
2016-06-20,GOOGL,706.13,715.87,705.41,710.31,2282725
2016-06-21,GOOGL,708.88,715.38,704.66,710.05,1515918
2016-06-22,GOOGL,710.47,714.21,705.88,714.05,1452884
2016-06-23,GOOGL,714.87,714.88,700.25,710.55,2125028
2016-06-24,GOOGL,685.2,705.0,684.91,690.17,4771780
2016-06-27,GOOGL,681.14,683.325,672.66,682.49,2919486
2016-06-28,GOOGL,691.26,692.7399,684.85,691.37,1912280
2016-06-29,GOOGL,695.19,699.5,692.6834,694.26,2156218
2016-06-30,GOOGL,703.53,703.77,694.9015,697.65,2112513
2016-07-01,GOOGL,710.25,712.53,703.73,705.1,1549160
2016-07-04,GOOGL,710.25,710.25,710.25,710.25,0
2016-07-05,GOOGL,704.89,708.12,699.13,705.01,1422028
2016-07-06,GOOGL,708.97,713.0,699.0,699.84,1445126
2016-07-07,GOOGL,707.26,710.17,700.67,710.11,1058698
2016-07-08,GOOGL,717.78,717.9,708.11,710.56,1497323
2016-07-11,GOOGL,727.2,728.9289,718.865,719.42,1441113
2016-07-12,GOOGL,732.51,735.6,727.5,731.92,1328680
2016-07-13,GOOGL,729.48,735.52,729.02,735.52,1021827
2016-07-14,GOOGL,735.8,736.14,730.59,733.94,1070351
2016-07-15,GOOGL,735.63,741.0,734.64,741.0,1617087
2016-07-18,GOOGL,753.2,755.1369,736.51,737.91,1934900
